"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/rewards/combined_reward/std","qwen3vl_rl - train/rewards/combined_reward/std__MIN","qwen3vl_rl - train/rewards/combined_reward/std__MAX"
"36","179","179","179","0.538413941860199","0.538413941860199","0.538413941860199"
"37","184","184","184","0","0","0"
"38","189","189","189","0","0","0"
"39","194","194","194","0.06546083837747574","0.06546083837747574","0.06546083837747574"
"40","199","199","199","0.04898979514837265","0.04898979514837265","0.04898979514837265"
"41","204","204","204","0","0","0"
"42","209","209","209","0","0","0"
"43","214","214","214","0.5196152329444885","0.5196152329444885","0.5196152329444885"
"44","219","219","219","0.005769231356680393","0.005769231356680393","0.005769231356680393"
"45","224","224","224","0.5416025519371033","0.5416025519371033","0.5416025519371033"
"46","229","229","229","0.03155946731567383","0.03155946731567383","0.03155946731567383"
"47","234","234","234","0.013636363670229912","0.013636363670229912","0.013636363670229912"
"48","239","239","239","0.03464101627469063","0.03464101627469063","0.03464101627469063"
"49","244","244","244","0.035686228424310684","0.035686228424310684","0.035686228424310684"
"50","249","249","249","0.5416025519371033","0.5416025519371033","0.5416025519371033"
"51","254","254","254","0.05424555018544197","0.05424555018544197","0.05424555018544197"
"52","259","259","259","0.2731150686740875","0.2731150686740875","0.2731150686740875"
"53","264","264","264","0.061131205409765244","0.061131205409765244","0.061131205409765244"
"54","269","269","269","0.540245771408081","0.540245771408081","0.540245771408081"
"55","274","274","274","0.03168703243136406","0.03168703243136406","0.03168703243136406"
"56","279","279","279","0.5617147088050842","0.5617147088050842","0.5617147088050842"
"57","284","284","284","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"58","289","289","289","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"59","294","294","294","0.007058821618556976","0.007058821618556976","0.007058821618556976"
"60","299","299","299","0.025660011917352676","0.025660011917352676","0.025660011917352676"
"61","304","304","304","0.016350748017430305","0.016350748017430305","0.016350748017430305"
"62","309","309","309","0.02734503336250782","0.02734503336250782","0.02734503336250782"
"63","314","314","314","0.5416025519371033","0.5416025519371033","0.5416025519371033"
"64","319","319","319","0.14336062967777252","0.14336062967777252","0.14336062967777252"
"65","324","324","324","0.036130983382463455","0.036130983382463455","0.036130983382463455"
"66","329","329","329","0.054549649357795715","0.054549649357795715","0.054549649357795715"
"67","334","334","334","0.04041241854429245","0.04041241854429245","0.04041241854429245"
"68","339","339","339","0.5614768266677856","0.5614768266677856","0.5614768266677856"
"69","344","344","344","0.1587713360786438","0.1587713360786438","0.1587713360786438"
"70","349","349","349","0.14996713399887085","0.14996713399887085","0.14996713399887085"
"71","354","354","354","0.023999998345971107","0.023999998345971107","0.023999998345971107"
"72","359","359","359","0","0","0"
"73","364","364","364","0.03997040539979935","0.03997040539979935","0.03997040539979935"
"74","369","369","369","0.012211938388645649","0.012211938388645649","0.012211938388645649"
"75","374","374","374","0.5273065567016602","0.5273065567016602","0.5273065567016602"
"76","379","379","379","0.06928203254938126","0.06928203254938126","0.06928203254938126"
"77","384","384","384","0.03110424615442753","0.03110424615442753","0.03110424615442753"
"78","389","389","389","0.13252712786197662","0.13252712786197662","0.13252712786197662"
"79","394","394","394","0.5541574954986572","0.5541574954986572","0.5541574954986572"
"80","399","399","399","0.5773502588272095","0.5773502588272095","0.5773502588272095"
"81","404","404","404","0","0","0"
"82","409","409","409","0.06928203254938126","0.06928203254938126","0.06928203254938126"
"83","414","414","414","0.020518455654382706","0.020518455654382706","0.020518455654382706"
"84","419","419","419","0.04285714775323868","0.04285714775323868","0.04285714775323868"
"85","424","424","424","0.018566850572824478","0.018566850572824478","0.018566850572824478"
"86","429","429","429","0.542709231376648","0.542709231376648","0.542709231376648"
"87","434","434","434","0.014433757402002811","0.014433757402002811","0.014433757402002811"
