"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/reward_std","qwen3vl_rl - train/reward_std__MIN","qwen3vl_rl - train/reward_std__MAX"
"36","179","179","179","0.005303302314132452","0.005303302314132452","0.005303302314132452"
"37","184","184","184","0","0","0"
"38","189","189","189","0","0","0"
"39","194","194","194","0.004991340450942516","0.004991340450942516","0.004991340450942516"
"40","199","199","199","0.04242640733718872","0.04242640733718872","0.04242640733718872"
"41","204","204","204","0","0","0"
"42","209","209","209","0","0","0"
"43","214","214","214","0","0","0"
"44","219","219","219","0.00407946202903986","0.00407946202903986","0.00407946202903986"
"45","224","224","224","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"46","229","229","229","0.004242639988660812","0.004242639988660812","0.004242639988660812"
"47","234","234","234","0.009642365388572216","0.009642365388572216","0.009642365388572216"
"48","239","239","239","0","0","0"
"49","244","244","244","0.02995222993195057","0.02995222993195057","0.02995222993195057"
"50","249","249","249","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"51","254","254","254","0","0","0"
"52","259","259","259","0.1767766922712326","0.1767766922712326","0.1767766922712326"
"53","264","264","264","0","0","0"
"54","269","269","269","0.02904188632965088","0.02904188632965088","0.02904188632965088"
"55","274","274","274","0.022437039762735367","0.022437039762735367","0.022437039762735367"
"56","279","279","279","0.009642364457249641","0.009642364457249641","0.009642364457249641"
"57","284","284","284","0.01767767034471035","0.01767767034471035","0.01767767034471035"
"58","289","289","289","0.01767767034471035","0.01767767034471035","0.01767767034471035"
"59","294","294","294","0.004991340450942516","0.004991340450942516","0.004991340450942516"
"60","299","299","299","0","0","0"
"61","304","304","304","0.01414213515818119","0.01414213515818119","0.01414213515818119"
"62","309","309","309","0.032859668135643005","0.032859668135643005","0.032859668135643005"
"63","314","314","314","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"64","319","319","319","0.01631784997880459","0.01631784997880459","0.01631784997880459"
"65","324","324","324","0.030304577201604843","0.030304577201604843","0.030304577201604843"
"66","329","329","329","0.006674927659332752","0.006674927659332752","0.006674927659332752"
"67","334","334","334","0.04091117903590202","0.04091117903590202","0.04091117903590202"
"68","339","339","339","0.0017677666619420052","0.0017677666619420052","0.0017677666619420052"
"69","344","344","344","0","0","0"
"70","349","349","349","0.01631784811615944","0.01631784811615944","0.01631784811615944"
"71","354","354","354","0.016970563679933548","0.016970563679933548","0.016970563679933548"
"72","359","359","359","0","0","0"
"73","364","364","364","0","0","0"
"74","369","369","369","0.0006202699150890112","0.0006202699150890112","0.0006202699150890112"
"75","374","374","374","0.4257793128490448","0.4257793128490448","0.4257793128490448"
"76","379","379","379","0","0","0"
"77","384","384","384","0.004991340450942516","0.004991340450942516","0.004991340450942516"
"78","389","389","389","0.018717532977461815","0.018717532977461815","0.018717532977461815"
"79","394","394","394","0.0018940359586849809","0.0018940359586849809","0.0018940359586849809"
"80","399","399","399","0","0","0"
"81","404","404","404","0","0","0"
"82","409","409","409","0","0","0"
"83","414","414","414","0.025043366476893425","0.025043366476893425","0.025043366476893425"
"84","419","419","419","0.030304577201604843","0.030304577201604843","0.030304577201604843"
"85","424","424","424","0.014983929693698883","0.014983929693698883","0.014983929693698883"
"86","429","429","429","0","0","0"
"87","434","434","434","0","0","0"
"88","439","439","439","0","0","0"
"89","444","444","444","0.012626906856894493","0.012626906856894493","0.012626906856894493"
"90","449","449","449","0.0003781309933401644","0.0003781309933401644","0.0003781309933401644"
"91","454","454","454","0.055684659630060196","0.055684659630060196","0.055684659630060196"
"92","459","459","459","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"93","464","464","464","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"94","469","469","469","0","0","0"
"95","474","474","474","0.005711247678846121","0.005711247678846121","0.005711247678846121"
"96","479","479","479","0.002525381278246641","0.002525381278246641","0.002525381278246641"
"97","484","484","484","0.005981167312711477","0.005981167312711477","0.005981167312711477"
"98","489","489","489","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"99","494","494","494","0.0235702283680439","0.0235702283680439","0.0235702283680439"
"100","499","499","499","0","0","0"
