"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"256","1279","1279","1279","0","0","0"
"257","1284","1284","1284","0.0003","0.0003","0.0003"
"258","1289","1289","1289","0.0011","0.0011","0.0011"
"259","1294","1294","1294","0","0","0"
"260","1299","1299","1299","0","0","0"
"261","1304","1304","1304","0","0","0"
"262","1309","1309","1309","-0.0052","-0.0052","-0.0052"
"263","1314","1314","1314","0.0028","0.0028","0.0028"
"264","1319","1319","1319","0","0","0"
"265","1324","1324","1324","0","0","0"
"266","1329","1329","1329","0","0","0"
"267","1334","1334","1334","0","0","0"
"268","1339","1339","1339","0","0","0"
"269","1344","1344","1344","-0.0007","-0.0007","-0.0007"
"270","1349","1349","1349","0","0","0"
"271","1354","1354","1354","0","0","0"
"272","1359","1359","1359","-0.0027","-0.0027","-0.0027"
"273","1364","1364","1364","-0.001","-0.001","-0.001"
"274","1369","1369","1369","-0.0017","-0.0017","-0.0017"
"275","1374","1374","1374","-0.0024","-0.0024","-0.0024"
"276","1379","1379","1379","0.0038","0.0038","0.0038"
"277","1384","1384","1384","0.001","0.001","0.001"
"278","1389","1389","1389","0","0","0"
"279","1394","1394","1394","-0.0003","-0.0003","-0.0003"
"280","1399","1399","1399","0.001","0.001","0.001"
"281","1404","1404","1404","0","0","0"
"282","1409","1409","1409","-0.0017","-0.0017","-0.0017"
"283","1414","1414","1414","0.0017","0.0017","0.0017"
"284","1419","1419","1419","0","0","0"
"285","1424","1424","1424","0.0062","0.0062","0.0062"
"286","1429","1429","1429","-0.0003","-0.0003","-0.0003"
"287","1434","1434","1434","0.0045","0.0045","0.0045"
"288","1439","1439","1439","0.0007","0.0007","0.0007"
"289","1444","1444","1444","-0.0013","-0.0013","-0.0013"
"290","1449","1449","1449","-0.0003","-0.0003","-0.0003"
"291","1454","1454","1454","0","0","0"
"292","1459","1459","1459","0","0","0"
"293","1464","1464","1464","0","0","0"
"294","1469","1469","1469","0.0007","0.0007","0.0007"
"295","1474","1474","1474","0.0001","0.0001","0.0001"
"296","1479","1479","1479","0.0014","0.0014","0.0014"
"297","1484","1484","1484","0","0","0"
"298","1489","1489","1489","0","0","0"
"299","1494","1494","1494","0.0004","0.0004","0.0004"
"300","1499","1499","1499","0.0014","0.0014","0.0014"
"301","1504","1504","1504","0.0004","0.0004","0.0004"
"302","1509","1509","1509","0","0","0"
"303","1514","1514","1514","0","0","0"
"304","1519","1519","1519","0","0","0"
"305","1524","1524","1524","-0.0003","-0.0003","-0.0003"
"306","1529","1529","1529","0.0038","0.0038","0.0038"
"307","1534","1534","1534","0.0031","0.0031","0.0031"
"308","1539","1539","1539","0","0","0"
"309","1544","1544","1544","0.0017","0.0017","0.0017"
"310","1549","1549","1549","0","0","0"
"311","1554","1554","1554","0","0","0"
"312","1559","1559","1559","-0.0013","-0.0013","-0.0013"
"313","1564","1564","1564","0","0","0"
"314","1569","1569","1569","0","0","0"
"315","1574","1574","1574","-0.0014","-0.0014","-0.0014"
"316","1579","1579","1579","0","0","0"
"317","1584","1584","1584","0.0028","0.0028","0.0028"
"318","1589","1589","1589","0","0","0"
"319","1594","1594","1594","-0.002","-0.002","-0.002"
"320","1599","1599","1599","0","0","0"
"321","1604","1604","1604","0","0","0"
"322","1609","1609","1609","0.0011","0.0011","0.0011"
"323","1614","1614","1614","-0.0041","-0.0041","-0.0041"
"324","1619","1619","1619","0","0","0"
"325","1624","1624","1624","0","0","0"
"326","1629","1629","1629","0","0","0"
"327","1634","1634","1634","0","0","0"
"328","1639","1639","1639","0","0","0"
"329","1644","1644","1644","0","0","0"
"330","1649","1649","1649","0","0","0"
"331","1654","1654","1654","0","0","0"
"332","1659","1659","1659","0","0","0"
"333","1664","1664","1664","0.0014","0.0014","0.0014"
"334","1669","1669","1669","0","0","0"
"335","1674","1674","1674","-0.0003","-0.0003","-0.0003"
"336","1679","1679","1679","0","0","0"
"337","1684","1684","1684","0","0","0"
"338","1689","1689","1689","-0.0017","-0.0017","-0.0017"
"339","1694","1694","1694","0","0","0"
"340","1699","1699","1699","0","0","0"
"341","1704","1704","1704","0","0","0"
"342","1709","1709","1709","-0.0024","-0.0024","-0.0024"
"343","1714","1714","1714","0.0035","0.0035","0.0035"
"344","1719","1719","1719","-0.002","-0.002","-0.002"
"345","1724","1724","1724","0","0","0"
"346","1729","1729","1729","0","0","0"
"347","1734","1734","1734","0","0","0"
"348","1739","1739","1739","-0.0027","-0.0027","-0.0027"
"349","1744","1744","1744","-0.0051","-0.0051","-0.0051"
"350","1749","1749","1749","0","0","0"
"351","1754","1754","1754","-0.001","-0.001","-0.001"
"352","1759","1759","1759","-0.003","-0.003","-0.003"
"353","1764","1764","1764","0","0","0"
"354","1769","1769","1769","0","0","0"
"355","1774","1774","1774","0","0","0"
"356","1779","1779","1779","0","0","0"
"357","1784","1784","1784","0","0","0"
"358","1789","1789","1789","0","0","0"
"359","1794","1794","1794","-0.0013","-0.0013","-0.0013"
"360","1799","1799","1799","0","0","0"
"361","1804","1804","1804","0","0","0"
"362","1809","1809","1809","-0.0007","-0.0007","-0.0007"
"363","1814","1814","1814","0.0001","0.0001","0.0001"
"364","1819","1819","1819","0","0","0"
"365","1824","1824","1824","-0.002","-0.002","-0.002"
"366","1829","1829","1829","0","0","0"
"367","1834","1834","1834","0.0014","0.0014","0.0014"
"368","1839","1839","1839","0.0031","0.0031","0.0031"
"369","1844","1844","1844","-0.0006","-0.0006","-0.0006"
"370","1849","1849","1849","0.0007","0.0007","0.0007"
"371","1854","1854","1854","0.0004","0.0004","0.0004"
"372","1859","1859","1859","-0.002","-0.002","-0.002"
"373","1864","1864","1864","0","0","0"
"374","1869","1869","1869","0","0","0"
"375","1874","1874","1874","0","0","0"
"376","1879","1879","1879","0","0","0"
"377","1884","1884","1884","0.0007","0.0007","0.0007"
"378","1889","1889","1889","0","0","0"
"379","1894","1894","1894","0.0014","0.0014","0.0014"
"380","1899","1899","1899","0","0","0"
"381","1904","1904","1904","0","0","0"
"382","1909","1909","1909","0","0","0"
"383","1914","1914","1914","0","0","0"
"384","1919","1919","1919","-0.0003","-0.0003","-0.0003"
"385","1924","1924","1924","0","0","0"
"386","1929","1929","1929","-0.0006","-0.0006","-0.0006"
"387","1934","1934","1934","0.0014","0.0014","0.0014"
"388","1939","1939","1939","0.0014","0.0014","0.0014"
"389","1944","1944","1944","-0.0044","-0.0044","-0.0044"
"390","1949","1949","1949","-0.0017","-0.0017","-0.0017"
"391","1954","1954","1954","-0.0027","-0.0027","-0.0027"
"392","1959","1959","1959","-0.0027","-0.0027","-0.0027"
"393","1964","1964","1964","0","0","0"
"394","1969","1969","1969","0.0007","0.0007","0.0007"
"395","1974","1974","1974","0","0","0"
"396","1979","1979","1979","0.0017","0.0017","0.0017"
"397","1984","1984","1984","0","0","0"
"398","1989","1989","1989","0","0","0"
"399","1994","1994","1994","0.0014","0.0014","0.0014"
"400","1999","1999","1999","0","0","0"
"401","2004","2004","2004","0","0","0"
"402","2009","2009","2009","0","0","0"
"403","2014","2014","2014","-0.0007","-0.0007","-0.0007"
"404","2019","2019","2019","-0.0013","-0.0013","-0.0013"
"405","2024","2024","2024","0","0","0"
"406","2029","2029","2029","0","0","0"
"407","2034","2034","2034","0","0","0"
"408","2039","2039","2039","-0.0006","-0.0006","-0.0006"
"409","2044","2044","2044","0","0","0"
"410","2049","2049","2049","0","0","0"
"411","2054","2054","2054","0","0","0"
"412","2059","2059","2059","0","0","0"
"413","2064","2064","2064","-0.0031","-0.0031","-0.0031"
"414","2069","2069","2069","0.0052","0.0052","0.0052"
